,day,employee_headcount,company_id,mean_seniority,mean_salary
0,2011-01-25,25,1,14.64,148440.0
0,2011-01-25,17,2,16.705882352941178,178588.23529411765
0,2011-01-25,9,3,15.555555555555555,180111.11111111112
0,2011-01-25,12,4,14.916666666666666,136500.0
0,2011-01-25,5,5,12.6,111400.0
0,2011-01-25,3,6,17.333333333333332,129666.66666666667
0,2011-01-25,1,7,18.0,249000.0
0,2011-01-25,6,8,8.5,93666.66666666667
0,2011-01-25,3,9,17.0,95666.66666666667
0,2011-01-26,27,1,14.37037037037037,143259.25925925927
0,2011-01-26,19,2,16.526315789473685,177368.42105263157
0,2011-01-26,10,3,14.6,168500.0
0,2011-01-26,12,4,14.916666666666666,136500.0
0,2011-01-26,5,5,12.6,111400.0
0,2011-01-26,3,6,17.333333333333332,129666.66666666667
0,2011-01-26,1,7,18.0,249000.0
0,2011-01-26,6,8,8.5,93666.66666666667
0,2011-01-26,3,9,17.0,95666.66666666667
0,2011-01-27,29,1,14.586206896551724,140965.5172413793
0,2011-01-27,19,2,16.526315789473685,177368.42105263157
0,2011-01-27,12,3,15.916666666666666,173250.0
0,2011-01-27,13,4,14.384615384615385,135076.92307692306
0,2011-01-27,6,5,10.833333333333334,96833.33333333333
0,2011-01-27,3,6,17.333333333333332,129666.66666666667
0,2011-01-27,1,7,18.0,249000.0
0,2011-01-27,6,8,8.5,93666.66666666667
0,2011-01-27,3,9,17.0,95666.66666666667
0,2011-01-28,29,1,14.586206896551724,140965.5172413793
0,2011-01-28,19,2,16.526315789473685,177368.42105263157
0,2011-01-28,12,3,15.916666666666666,173250.0
0,2011-01-28,13,4,14.384615384615385,135076.92307692306
0,2011-01-28,6,5,10.833333333333334,96833.33333333333
0,2011-01-28,3,6,17.333333333333332,129666.66666666667
0,2011-01-28,1,7,18.0,249000.0
0,2011-01-28,6,8,8.5,93666.66666666667
0,2011-01-28,3,9,17.0,95666.66666666667
0,2011-01-29,29,1,14.586206896551724,140965.5172413793
0,2011-01-29,19,2,16.526315789473685,177368.42105263157
0,2011-01-29,12,3,15.916666666666666,173250.0
0,2011-01-29,13,4,14.384615384615385,135076.92307692306
0,2011-01-29,6,5,10.833333333333334,96833.33333333333
0,2011-01-29,3,6,17.333333333333332,129666.66666666667
0,2011-01-29,1,7,18.0,249000.0
0,2011-01-29,6,8,8.5,93666.66666666667
0,2011-01-29,3,9,17.0,95666.66666666667
0,2011-01-30,29,1,14.586206896551724,140965.5172413793
0,2011-01-30,19,2,16.526315789473685,177368.42105263157
0,2011-01-30,12,3,15.916666666666666,173250.0
0,2011-01-30,13,4,14.384615384615385,135076.92307692306
0,2011-01-30,6,5,10.833333333333334,96833.33333333333
0,2011-01-30,3,6,17.333333333333332,129666.66666666667
0,2011-01-30,1,7,18.0,249000.0
0,2011-01-30,6,8,8.5,93666.66666666667
0,2011-01-30,3,9,17.0,95666.66666666667
0,2011-01-31,29,1,14.586206896551724,140965.5172413793
0,2011-01-31,19,2,16.526315789473685,177368.42105263157
0,2011-01-31,12,3,15.916666666666666,173250.0
0,2011-01-31,13,4,14.384615384615385,135076.92307692306
0,2011-01-31,6,5,10.833333333333334,96833.33333333333
0,2011-01-31,3,6,17.333333333333332,129666.66666666667
0,2011-01-31,1,7,18.0,249000.0
0,2011-01-31,6,8,8.5,93666.66666666667
0,2011-01-31,3,9,17.0,95666.66666666667
0,2011-02-01,59,1,13.94915254237288,155474.57627118644
0,2011-02-01,31,2,16.06451612903226,179161.29032258064
0,2011-02-01,19,3,17.157894736842106,161315.7894736842
0,2011-02-01,18,4,15.166666666666666,140500.0
0,2011-02-01,13,5,10.846153846153847,103000.0
0,2011-02-01,10,6,13.5,102300.0
0,2011-02-01,7,7,16.0,136428.57142857142
0,2011-02-01,11,8,11.454545454545455,113454.54545454546
0,2011-02-01,6,9,17.333333333333332,94666.66666666667
0,2011-02-01,1,10,22.0,238000.0
0,2011-02-02,66,1,14.333333333333334,158878.78787878787
0,2011-02-02,33,2,16.0,174848.48484848486
0,2011-02-02,20,3,16.95,160400.0
0,2011-02-02,19,4,14.789473684210526,138578.94736842104
0,2011-02-02,13,5,10.846153846153847,103000.0
0,2011-02-02,11,6,13.363636363636363,107909.09090909091
0,2011-02-02,7,7,16.0,136428.57142857142
0,2011-02-02,11,8,11.454545454545455,113454.54545454546
0,2011-02-02,7,9,15.285714285714286,84857.14285714286
0,2011-02-02,1,10,22.0,238000.0
0,2011-02-03,67,1,14.283582089552239,159298.50746268657
0,2011-02-03,35,2,16.057142857142857,176600.0
0,2011-02-03,20,3,16.95,160400.0
0,2011-02-03,19,4,14.789473684210526,138578.94736842104
0,2011-02-03,13,5,10.846153846153847,103000.0
0,2011-02-03,11,6,13.363636363636363,107909.09090909091
0,2011-02-03,7,7,16.0,136428.57142857142
0,2011-02-03,12,8,12.583333333333334,111250.0
0,2011-02-03,7,9,15.285714285714286,84857.14285714286
0,2011-02-03,2,10,16.5,208000.0
0,2011-02-04,67,1,14.283582089552239,159298.50746268657
0,2011-02-04,36,2,16.02777777777778,175194.44444444444
0,2011-02-04,20,3,16.95,160400.0
0,2011-02-04,19,4,14.789473684210526,138578.94736842104
0,2011-02-04,13,5,10.846153846153847,103000.0
0,2011-02-04,11,6,13.363636363636363,107909.09090909091
0,2011-02-04,7,7,16.0,136428.57142857142
0,2011-02-04,12,8,12.583333333333334,111250.0
0,2011-02-04,7,9,15.285714285714286,84857.14285714286
0,2011-02-04,2,10,16.5,208000.0
0,2011-02-05,67,1,14.283582089552239,159298.50746268657
0,2011-02-05,36,2,16.02777777777778,175194.44444444444
0,2011-02-05,20,3,16.95,160400.0
0,2011-02-05,19,4,14.789473684210526,138578.94736842104
0,2011-02-05,13,5,10.846153846153847,103000.0
0,2011-02-05,11,6,13.363636363636363,107909.09090909091
0,2011-02-05,7,7,16.0,136428.57142857142
0,2011-02-05,12,8,12.583333333333334,111250.0
0,2011-02-05,7,9,15.285714285714286,84857.14285714286
0,2011-02-05,2,10,16.5,208000.0
0,2011-02-06,67,1,14.283582089552239,159298.50746268657
